phone, x(m), y(m)
1, 7.702050206289989, 6.859741756782176
2, 5.6242159560700635, 8.483693744511802
3, 3.216648185114025, 9.642312365692398
4, 0.27864052545280726, 10.475428384623743
5, -2.9256919819909273, 10.877479389076273
6, -6.078127465623598, 10.930421053120043
7, -8.229078359170344, 9.39113173969806
8, -11.136468168891273, 7.91407501577091
9, -13.025341875311568, 5.805813114657935
10, -15.459973287746514, 2.2071781163108746
11, -12.891897559004853, -0.8752250626472753
12, -10.452291146226745, -3.798349842487389
13, -8.464553314608313, -6.528123815085778
14, -5.802807337229807, -7.467281630145613
15, -1.8843223604462365, -8.751499336958403
16, 0.26410785707270534, -10.841358541338582
17, 2.5654155495328896, -12.244354969792482
18, 6.917258403612905, -12.229686593035009
19, 9.342854138089685, -10.227610302867433
20, 11.335384259194917, -7.645415206143208
21, 12.876693806000187, -4.9282314163298535
22, 13.079017109477498, -2.075283559140562
23, 12.387962682038903, 1.5849256219254642
24, 10.76030417830356, 3.4402199738019146
