phone, x(m), y(m)
13,-3.1036363636363618,5.849090909090904
12,0.29636363636363683,-9.150909090909096
11,2.196363636363639,-24.150909090909096
10,6.896363636363638,-13.150909090909096
9,9.49636363636364,-4.150909090909096
8,9.296363636363637,7.849090909090904
7,6.0963636363636375,14.519090909090906
6,1.4963636363636397,29.849090909090904
5,-4.6636363636363605,33.17909090909092
4,-10.103636363636362,25.179090909090903
3,-12.203636363636361,-13.480909090909094
2,-7.4036363636363625,-26.820909090909097
1,-1.1036363636363618,-28.820909090909097
