,t,rel_power,abs_power,baz,slow
0,15.0,0.2508683093017773,13003.658657679003,90.0,2.49
1,15.15,0.2709824665380644,17584.99167880054,90.0,3.0
2,15.3,0.20442608592905073,24552.36380412871,90.0,3.0
3,15.45,0.3316023517335021,180397.8091467602,90.0,3.0
4,15.6,0.41446629328848633,373341.1284653537,90.0,2.82
5,15.75,0.3885821178642318,396582.48794355127,90.0,2.82
6,15.9,0.38235711361746144,421565.84977076185,90.0,2.79
7,16.05,0.3761344697935836,427632.93766173534,90.0,2.79
8,16.2,0.3723077533974057,423704.6044584148,90.0,2.79
9,16.35,0.37276628061172384,425898.48721559765,90.0,2.79
10,16.5,0.3724745975524698,423308.6040041023,90.0,2.79
11,16.65,0.40614524400117846,397878.02678513224,90.0,2.64
12,16.8,0.32228320731357285,145436.43911630812,90.0,1.95
13,16.95,0.3125428869452133,86863.23930486309,90.0,1.8
14,17.1,0.2641136345747523,39301.458683679084,90.0,1.6500000000000001
15,17.25,0.26071644331085514,24187.77034966105,90.0,1.8900000000000001
16,17.4,0.28423663854108666,19405.563270569266,90.0,1.86
17,17.55,0.2380811793375766,10574.200348637043,90.0,1.62
18,17.7,0.18006533049880222,5325.5059453002705,90.0,2.2800000000000002
19,17.85,0.15534090942134526,3381.205928393126,90.0,2.49
20,18.0,0.15171265739241674,2853.1388835093844,90.0,2.13
